category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	43/444	158/8840	1.0114680148892e-20	3.07486276526318e-18	2.98116888598923e-18	AURKB/BUB1/BUB1B/CCNA2/CCNB1/CCNB2/CCNE2/CDC20/CDC25A/CDC25C/CDC45/CDC6/CDC7/CDCA5/CDK1/CDKN2A/CDT1/CHEK1/DBF4/E2F1/E2F2/E2F5/ESCO2/ESPL1/FBXO5/KNL1/MAD2L1/MCM2/MCM4/MTBP/NDC80/ORC1/ORC6/PCNA/PKMYT1/PLK1/PPP2R5A/PTTG1/SFN/SGO1/SMC1B/TICRR/TRIP13	43
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	26/444	139/8840	4.43049128740324e-09	6.73434675685292e-07	6.52914505512056e-07	GRIN2A/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC4/H2AC8/H2BC11/H2BC13/H2BC15/H2BC18/H2BC21/H2BC8/H3C10/H3C13/H3C2/H3C3/H4C4/H4C8/H4C9	26
Human Diseases	Substance dependence	hsa05034	Alcoholism	30/444	188/8840	1.40097103988516e-08	1.41965065375029e-06	1.37639260058892e-06	GNG4/GNGT1/GRIN2A/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC4/H2AC8/H2BC11/H2BC13/H2BC15/H2BC18/H2BC21/H2BC8/H3C10/H3C13/H3C2/H3C3/H4C4/H4C8/H4C9/PKIA/SHC3	30
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	26/444	192/8840	3.37601388232239e-06	0.000256577055056501	0.000248758917644808	H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC4/H2AC8/H2BC11/H2BC13/H2BC15/H2BC18/H2BC21/H2BC8/H3C10/H3C13/H3C2/H3C3/H4C4/H4C8/H4C9/MAPK13	26
NA	NA	hsa04820	Cytoskeleton in muscle cells	28/444	232/8840	1.35021518895448e-05	0.000820930834884323	0.000795916321910009	ACTG2/ACTN2/AMPD3/COL11A1/COL1A1/COL24A1/COL4A5/COL5A2/COL9A1/COMP/CSRP2/DIAPH3/DTNA/FBN3/FLNC/ITGA11/ITGA2/ITGA6/ITGB6/LMNB1/MYH4/NEB/SGCE/THBS4/TNNC1/TNNI3/TRIM54/VCAN	28
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	19/444	139/8840	6.20862014304039e-05	0.0031457008724738	0.00304984849131809	AURKA/BUB1/CCNB1/CCNB2/CCNE2/CDC20/CDC25C/CDK1/ESPL1/FBXO43/FBXO5/MAD2L1/MAPK13/PKMYT1/PLK1/PPP2R5A/PTTG1/SGO1/SMC1B	19
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	13/444	75/8840	7.91835530104926e-05	0.00343882858788425	0.0033340443372839	CCNB1/CCNB2/CCNE2/CDK1/CDKN2A/CHEK1/COP1/GORAB/GTSE1/RRM2/SFN/TP53I3/TP73	13
Cellular Processes	Cell motility	hsa04814	Motor proteins	23/444	197/8840	0.000132490555563781	0.0050346411114237	0.00488123099445511	ACTG2/BICDL1/CENPE/DYNC1I1/DYNLT2/KIF11/KIF14/KIF15/KIF18B/KIF20A/KIF20B/KIF23/KIF2C/KIF4A/KIFC1/KLC3/MYH4/MYO18B/TNNC1/TNNI3/TUBA3C/TUBA3D/TUBB4A	23
Genetic Information Processing	Replication and repair	hsa03460	Fanconi anemia pathway	10/444	55/8840	0.000352009893885468	0.0118901119712425	0.0115278093904013	BLM/EME1/FANCB/FANCD2/FANCG/FANCI/POLN/RAD51/RMI2/UBE2T	10
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	13/444	89/8840	0.000463407812109927	0.0140875974881418	0.0136583355148189	COL1A1/COL2A1/COL4A5/COL9A1/COMP/HMMR/ITGA11/ITGA2/ITGA6/ITGB6/LAMA3/SPP1/THBS4	13
Genetic Information Processing	Replication and repair	hsa03030	DNA replication	7/444	36/8840	0.00180504071295006	0.0498847615215288	0.0483647272369393	DNA2/MCM2/MCM4/PCNA/POLE2/RFC4/RNASEH2A	7
