group	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	Samples
Paracancer	155.591601483978	1576.27043668294	1731.86203816692	0.653040156166297	bulk_P_1
Paracancer	233.345214373295	1657.46677623075	1890.81199060404	0.635194141718543	bulk_P_2
Paracancer	231.471450219137	1382.20246855718	1613.67391877632	0.666079757779331	bulk_P_3
Paracancer	198.964510670353	1433.37840045282	1632.34291112317	0.664033254634005	bulk_P_4
Paracancer	582.069589850408	1682.80836375077	2264.87795360118	0.591849398337344	bulk_P_5
Paracancer	473.113331261562	1840.77949436209	2313.89282562365	0.586034759771025	bulk_P_6
Paracancer	361.626218174038	1545.33221417351	1906.95843234755	0.633361798674881	bulk_P_7
Paracancer	270.851820777723	1851.57383737488	2122.42565815261	0.608573537157274	bulk_P_8
Paracancer	43.2405590624459	1458.17017657707	1501.41073563951	0.678280080022783	bulk_P_9
Paracancer	157.905895393106	1626.31221918407	1784.21811457718	0.647200698323169	bulk_P_10
Paracancer	653.917058936121	1956.74284958899	2610.65990852512	0.550192320667615	bulk_P_11
Paracancer	872.912143906295	2375.86192762191	3248.7740715282	0.469678677465352	bulk_P_12
Paracancer	180.919912233106	1641.23469195806	1822.15460419117	0.64294560439488	bulk_P_13
Paracancer	317.623558527947	2284.00892206552	2601.63248059347	0.551298364224796	bulk_P_14
Paracancer	79.2129229256509	1740.92920069923	1820.14212362489	0.643171833437798	bulk_P_15
Paracancer	334.43812870384	2056.77570639488	2391.21383509872	0.576800606395032	bulk_P_16
Paracancer	119.376299744163	1770.21766268635	1889.59396243051	0.635332222329693	bulk_P_17
Paracancer	166.957550741023	1603.16338708859	1770.12093782961	0.648776781138687	bulk_P_18
Paracancer	272.747628005271	1543.25796075759	1816.00558876286	0.643636657595665	bulk_P_19
Paracancer	430.015140326537	1739.3402328643	2169.35537319083	0.603092944539997	bulk_P_20
Paracancer	221.776691652576	1711.98735068855	1933.76404234113	0.630311972390586	bulk_P_21
Paracancer	12.7539486405239	1255.24941474652	1268.00336338705	0.703052559397224	bulk_P_22
Paracancer	320.179697333555	1659.54357422084	1979.72327155439	0.625060247212213	bulk_P_23
Paracancer	611.836251589505	1597.00214347112	2208.83839506063	0.598459820469995	bulk_P_24
Paracancer	71.1022278276359	1499.04250021997	1570.1447280476	0.670831991938938	bulk_P_25
Paracancer	7.68378334487887	1272.10977166992	1279.7935550148	0.701820766828221	bulk_P_26
Paracancer	-119.30784817741	1430.31047835763	1311.00263018022	0.698550029318593	bulk_P_27
Paracancer	179.32240138704	1603.71035163317	1783.03275302021	0.64733333010725	bulk_P_28
Paracancer	-65.5201396082294	1481.75580593456	1416.23566632633	0.687413863949969	bulk_P_29
Paracancer	-40.1278219337034	1433.43697065357	1393.30914871987	0.689854103367574	bulk_P_30
Paracancer	199.14823136155	1428.3320871811	1627.48031854265	0.664566775068685	bulk_P_31
Paracancer	555.887083849487	1964.20179276043	2520.08887660992	0.561245014275368	bulk_P_32
Paracancer	239.39319829602	1562.150523828	1801.54372212402	0.645259877431213	bulk_P_33
