id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa01100	hsa01100	0	248	110	10.0	0	110	-0.439447621771029
hsa00982	hsa00982	0	15	8	6.953131037670343	0	8	-0.759500013266469
hsa04610	hsa04610	0	33	22	6.4330707053125185	0	22	-0.594557331309046
hsa00830	hsa00830	0	16	15	6.093877374143008	0	15	-0.742725110658577
hsa01200	hsa01200	0	29	18	5.428502782646567	0	18	-0.591728137886924
hsa00260	hsa00260	0	12	8	4.904102999571368	0	8	-0.747515488823252
hsa04512	hsa04512	0	13	9	4.44298612728076	9	0	0.734769569815436
hsa01240	hsa01240	0	25	18	4.453381788245756	0	18	-0.567242791883805
hsa00980	hsa00980	0	13	9	4.314156964229984	0	9	-0.708045337879182
hsa00590	hsa00590	0	10	7	4.154318063101545	0	7	-0.736829562701799
hsa04260	hsa04260	0	19	9	4.028552735394314	9	0	0.6316460441676
hsa05204	hsa05204	0	13	8	3.9621481096185622	0	8	-0.693549382086607
hsa00380	hsa00380	0	15	11	3.4846171892881657	0	11	-0.612966577170564
hsa04152	hsa04152	0	29	11	3.4798554323480215	0	11	-0.498068937155347
hsa01230	hsa01230	0	21	13	3.3325376617952385	0	13	-0.544651835227916
hsa04910	hsa04910	0	23	10	3.1964162276363943	0	10	-0.520220038703671
hsa04922	hsa04922	0	20	9	3.109118077847227	0	9	-0.550359246343081
hsa00270	hsa00270	0	12	8	3.0850870469365783	0	8	-0.643519732694176
hsa05414	hsa05414	0	25	18	2.9851452134813927	18	0	0.516940499309225
hsa05222	hsa05222	0	15	10	2.997896620729479	10	0	0.611742150899789
hsa04310	hsa04310	0	24	9	2.943586729286057	9	0	0.529316149440312
hsa04146	hsa04146	0	20	12	2.8108839169751776	0	12	-0.530692651943113
hsa04360	hsa04360	0	24	10	2.721741363519774	10	0	0.515083881184936
hsa00010	hsa00010	0	17	8	2.733706717830738	0	8	-0.55137007081087
hsa05410	hsa05410	0	26	15	2.685501430517036	15	0	0.50524423463284
hsa05412	hsa05412	0	22	17	2.60623482344326	17	0	0.541858151590391
hsa04971	hsa04971	0	13	10	2.4587849118355902	10	0	0.616942295154175
hsa05207	hsa05207	0	27	18	2.3542180204515097	0	18	-0.461784048279728
hsa00630	hsa00630	0	11	9	2.3288911619946058	0	9	-0.60270290030545
hsa00230	hsa00230	0	15	10	2.3205822693127107	0	10	-0.538273025703958
hsa00350	hsa00350	0	11	8	2.2809210626932614	0	8	-0.598194569256976
hsa04931	hsa04931	0	23	7	2.1777651051404927	0	7	-0.44671612745447
