id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa04610	Organismal Systems	0	228	19	12.24174652547172	19	0	0.08333333333333333
hsa01200	Metabolism	0	228	18	9.107704924652442	18	0	0.07894736842105263
hsa01230	Metabolism	0	228	13	7.31141903222302	13	0	0.05701754385964912
hsa00630	Metabolism	0	228	9	7.275192968793427	9	0	0.039473684210526314
hsa00830	Metabolism	0	228	11	5.954861967193524	11	0	0.04824561403508772
hsa00220	Metabolism	0	228	7	5.923039647428453	7	0	0.03070175438596491
hsa04146	Cellular Processes	0	228	12	5.904064824101017	12	0	0.05263157894736842
hsa00260	Metabolism	0	228	8	5.100358185568119	8	0	0.03508771929824561
hsa00380	Metabolism	0	228	8	5.01824674062855	8	0	0.03508771929824561
hsa04152	Environmental Information Processing	0	228	13	4.838842257966186	13	0	0.05701754385964912
hsa00982	Metabolism	0	228	10	4.795652924163264	10	0	0.043859649122807015
hsa03320	Organismal Systems	0	228	10	4.6385448856203935	10	0	0.043859649122807015
hsa00350	Metabolism	0	228	7	4.5151352101005395	7	0	0.03070175438596491
hsa00250	Metabolism	0	228	7	4.433589915314769	7	0	0.03070175438596491
hsa01240	Metabolism	0	228	14	4.413158090678075	14	0	0.06140350877192982
hsa00650	Metabolism	0	228	6	4.285712742018149	6	0	0.02631578947368421
hsa04976	Organismal Systems	0	228	10	3.997737215510301	10	0	0.043859649122807015
hsa00670	Metabolism	0	228	5	3.9087915214916795	5	0	0.021929824561403508
hsa00640	Metabolism	0	228	6	3.8466620331703556	6	0	0.02631578947368421
hsa01210	Metabolism	0	228	6	3.768872674581413	6	0	0.02631578947368421
hsa00980	Metabolism	0	228	9	3.733477992899073	9	0	0.039473684210526314
hsa04936	Human Diseases	0	228	12	3.4762536574310596	12	0	0.05263157894736842
hsa00270	Metabolism	0	228	7	3.4624956485532414	7	0	0.03070175438596491
hsa04922	Organismal Systems	0	228	10	3.3751820982198075	10	0	0.043859649122807015
hsa05204	Human Diseases	0	228	8	3.342436848144023	8	0	0.03508771929824561
hsa00500	Metabolism	0	228	6	3.294507913994815	6	0	0.02631578947368421
hsa01212	Metabolism	0	228	7	3.2140615938647126	7	0	0.03070175438596491
hsa00360	Metabolism	0	228	4	3.2115066449894725	4	0	0.017543859649122806
hsa00071	Metabolism	0	228	6	3.1215509118448286	6	0	0.02631578947368421
hsa00590	Metabolism	0	228	7	3.0344030480817192	7	0	0.03070175438596491
hsa04213	Organismal Systems	0	228	7	2.9918305333729385	7	0	0.03070175438596491
hsa00230	Metabolism	0	228	10	2.769310316761039	10	0	0.043859649122807015
hsa00770	Metabolism	0	228	4	2.7385042220450693	4	0	0.017543859649122806
hsa04211	Organismal Systems	0	228	8	2.66165424608224	8	0	0.03508771929824561
hsa00340	Metabolism	0	228	4	2.660129692533822	4	0	0.017543859649122806
hsa04910	Organismal Systems	0	228	10	2.5278913864191415	10	0	0.043859649122807015
hsa01040	Metabolism	0	228	4	2.3238308530701395	4	0	0.017543859649122806
hsa02010	Environmental Information Processing	0	228	5	2.239532947836598	5	0	0.021929824561403508
hsa00620	Metabolism	0	228	5	2.158738305885283	5	0	0.021929824561403508
hsa04931	Human Diseases	0	228	8	2.152021943329497	8	0	0.03508771929824561
hsa00010	Metabolism	0	228	6	2.1298760047406553	6	0	0.02631578947368421
hsa00280	Metabolism	0	228	5	2.119970446459564	5	0	0.021929824561403508
