#ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046395	carboxylic acid catabolic process	48/360	243/18903	7.82062270285372e-35	2.88893802643416e-31	2.39146410018843e-31	SDS/TAT/PCK1/KMO/ARG1/ACACB/HAL/AGXT/SCP2/TDO2/LONP2/SLC27A2/GLDC/KYNU/BCKDHB/IDO2/SHMT1/MFSD2A/AASS/PON3/FTCD/GOT1/AIG1/HAO1/AKR1D1/ABHD2/SULT2A1/HPD/ALDH8A1/MAT1A/CRYL1/MTHFS/PCCA/ABCB11/PLIN5/HGD/CYP4F3/UROC1/ETFDH/EHHADH/ACAT1/PON1/ECHDC2/RIDA/ACOX1/GPT2/GOT2/AMDHD1	48
BP	GO:0016054	organic acid catabolic process	48/360	247/18903	1.74801912704921e-34	3.2285913276599e-31	2.67262924425156e-31	SDS/TAT/PCK1/KMO/ARG1/ACACB/HAL/AGXT/SCP2/TDO2/LONP2/SLC27A2/GLDC/KYNU/BCKDHB/IDO2/SHMT1/MFSD2A/AASS/PON3/FTCD/GOT1/AIG1/HAO1/AKR1D1/ABHD2/SULT2A1/HPD/ALDH8A1/MAT1A/CRYL1/MTHFS/PCCA/ABCB11/PLIN5/HGD/CYP4F3/UROC1/ETFDH/EHHADH/ACAT1/PON1/ECHDC2/RIDA/ACOX1/GPT2/GOT2/AMDHD1	48
BP	GO:0044282	small molecule catabolic process	56/360	385/18903	3.52934170683282e-33	4.34579608834682e-30	3.59745180994714e-30	ALDOB/SDS/TAT/ADH4/PCK1/KMO/ARG1/ACACB/HAL/AGXT/GDA/SCP2/TDO2/LONP2/XDH/SLC27A2/GLDC/KYNU/BCKDHB/IDO2/SHMT1/MFSD2A/AASS/UPB1/PON3/FTCD/GOT1/AIG1/HAO1/AKR1D1/ABHD2/SULT2A1/HPD/ALDH8A1/MAT1A/CRYL1/MTHFS/PCCA/ABCB11/PLIN5/HGD/CYP4F3/UROC1/ETFDH/EHHADH/ACAT1/PON1/ECHDC2/RIDA/ACOX1/CDA/DPYD/HSD17B6/GPT2/GOT2/AMDHD1	56
BP	GO:1901605	alpha-amino acid metabolic process	38/360	205/18903	1.22055686049985e-26	1.12718426067161e-23	9.33083599934753e-24	SDS/TAT/BHMT/ASS1/KMO/CPS1/BAAT/ASL/ARG1/HAL/AGXT/TDO2/GLDC/KYNU/IDO2/SHMT1/CTH/GLYAT/AASS/GLYATL1/FTCD/GOT1/MSRA/HAO1/HPD/ALDH8A1/MAT1A/MTHFS/ASPG/MTHFD2L/HGD/UROC1/ACAT1/MTHFD1/RIDA/GPT2/GOT2/AMDHD1	38
BP	GO:0006520	cellular amino acid metabolic process	43/360	289/18903	5.56859844659072e-26	4.11408053234123e-23	3.40563757628338e-23	SDS/TAT/BHMT/ASS1/KMO/CPS1/BAAT/ASL/ARG1/HAL/AGXT/TDO2/GLDC/KYNU/BCKDHB/IDO2/SHMT1/CTH/GLYAT/AASS/GLYATL1/UPB1/FTCD/PEPD/GOT1/MSRA/HAO1/HPD/ALDH8A1/MAT1A/MTHFS/PCCA/ASPG/MTHFD2L/HGD/UROC1/ACAT1/MTHFD1/RIDA/DPYD/GPT2/GOT2/AMDHD1	43
BP	GO:0006631	fatty acid metabolic process	43/360	400/18903	2.62271930327854e-20	1.61472085105182e-17	1.33666659228494e-17	CYP2B6/CYP2C8/ADH4/ACSL1/PCK1/CYP2A7/PRKAG2/CYP2C9/CYP2C19/CYP2C18/BAAT/INSIG1/CYP2A6/ACACB/SCP2/LONP2/PPARGC1A/ACSM2B/SLC27A2/ACSM2A/MFSD2A/HAO2/AIG1/HAO1/ABHD2/POR/MGLL/CRYL1/PCCA/HPGD/ABCB11/PLIN5/CYP4F3/CBR4/ETFDH/EHHADH/C3/ADIPOR2/CYP2D6/ACAT1/ELOVL6/ECHDC2/ACOX1	43
BP	GO:0009063	cellular amino acid catabolic process	25/360	113/18903	7.27652550067277e-20	3.83992645706932e-17	3.17869271871495e-17	SDS/TAT/KMO/ARG1/HAL/AGXT/TDO2/GLDC/KYNU/BCKDHB/IDO2/SHMT1/AASS/FTCD/GOT1/HPD/ALDH8A1/MAT1A/HGD/UROC1/ACAT1/RIDA/GPT2/GOT2/AMDHD1	25
BP	GO:0046394	carboxylic acid biosynthetic process	38/360	326/18903	2.93564457664702e-19	1.35553388326676e-16	1.122111512521e-16	SDS/CYP2C8/BHMT/PRKAG2/ASS1/CYP2C9/KMO/CPS1/BAAT/INSIG1/ASL/ACACB/AGXT/SCP2/ACSM2B/SLC27A2/ALDH1A2/ACSM2A/KYNU/SHMT1/CTH/AASS/UPB1/GOT1/HAO1/AKR1D1/ABHD2/ALDH8A1/MGLL/OSBPL9/ABCB11/MTHFD2L/CBR4/CYP2D6/MTHFD1/ELOVL6/DPYD/GOT2	38
BP	GO:0016053	organic acid biosynthetic process	38/360	328/18903	3.63158125282212e-19	1.49056234976944e-16	1.2338881332688e-16	SDS/CYP2C8/BHMT/PRKAG2/ASS1/CYP2C9/KMO/CPS1/BAAT/INSIG1/ASL/ACACB/AGXT/SCP2/ACSM2B/SLC27A2/ALDH1A2/ACSM2A/KYNU/SHMT1/CTH/AASS/UPB1/GOT1/HAO1/AKR1D1/ABHD2/ALDH8A1/MGLL/OSBPL9/ABCB11/MTHFD2L/CBR4/CYP2D6/MTHFD1/ELOVL6/DPYD/GOT2	38
BP	GO:0072329	monocarboxylic acid catabolic process	23/360	126/18903	2.10434810524993e-16	7.77346190079323e-14	6.43487499552741e-14	PCK1/ACACB/AGXT/SCP2/LONP2/SLC27A2/MFSD2A/PON3/AIG1/HAO1/AKR1D1/ABHD2/SULT2A1/CRYL1/PCCA/ABCB11/PLIN5/CYP4F3/ETFDH/EHHADH/ACAT1/ECHDC2/ACOX1	23
BP	GO:1901606	alpha-amino acid catabolic process	20/360	95/18903	1.08669636504206e-15	3.64932397496851e-13	3.02091190473414e-13	SDS/TAT/KMO/ARG1/AGXT/TDO2/GLDC/KYNU/IDO2/SHMT1/AASS/GOT1/HPD/ALDH8A1/MAT1A/HGD/ACAT1/RIDA/GPT2/GOT2	20
BP	GO:0006805	xenobiotic metabolic process	21/360	118/18903	7.45202395334225e-15	2.29398137363719e-12	1.89895873547888e-12	CYP2B6/CYP2C8/ACSL1/CYP2A7/CYP2C9/CYP3A5/CYP2C19/CYP2C18/CYP2A6/ACSM2B/RORA/SLC22A7/GLYAT/PON3/SLCO2B1/POR/SULT2A1/ABCB11/SLCO1B1/CYP2D6/NR1I2	21
