#ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa01100	Metabolic pathways	248	0.439447621771029	2.95343538460482	1e-10	1.03e-08	8e-09	397	tags=44%, list=21%, signal=40%	1555/229/10993/27115/1558/6898/635/127/2180/2203/5105/1549/445/1559/8564/1577/1373/5288/1557/1562/570/1548/435/7360/383/4837/32/3034/189/9615/6342/55277/132/6999/2998/3158/7498/348158/2643/5207/8854/2731/6715/5140/763/123876/10243/211/8942/594/2632/5033/169355/6470/1491/2822/10157/51733/10841/116255/2805/51179/9060/54363/6718/3294/3242/64577/11343/4143/51084/10588/8876/5095/6675/107/441024/3081/2053/4051/84869/131669/124/8801/5167/1962/847/29958/8613/48/84803/38/622/4522/10135/79071/178/51/978/1806/5236/57134/8630/50940/84706/2806/144193/1036/23498/54988
hsa00982	Drug metabolism - cytochrome P450	15	0.759500013266469	2.61304169376018	1.19630437221171e-07	8.21462335585372e-06	6.3802899851291e-06	46	tags=53%, list=2%, signal=52%	1555/1558/127/1549/1559/1577/1557/1548
hsa04610	Complement and coagulation cascades	33	0.594557331309046	2.65471147333858	4.19693278410806e-07	2.16142038381565e-05	1.67877311364322e-05	430	tags=67%, list=23%, signal=52%	735/729/5340/3818/2/10878/2244/731/2160/732/2266/2158/5054/3075/718/5627/727/715/7035/3827/722/1361
hsa00830	Retinol metabolism	16	0.742725110658577	2.64497925657566	8.8233024637006e-07	3.63520061504465e-05	2.82345678838419e-05	98	tags=56%, list=5%, signal=54%	1555/1558/127/1549/1559/1577/1562/1548/8854
hsa01200	Carbon metabolism	29	0.591728137886924	2.55776185335433	4.26651972572527e-06	0.000146483843916567	0.000113773859352674	378	tags=62%, list=20%, signal=50%	229/10993/2203/1373/189/2731/6470/2805/51179/54363/5095/8801/847/48/38/51/84706/2806
hsa00260	Glycine, serine and threonine metabolism	12	0.747515488823252	2.39799926905985	1.36850801800342e-05	0.000402732359583863	0.000312801832686495	132	tags=58%, list=7%, signal=55%	10993/635/189/2731/211/6470/1491
hsa04512	ECM-receptor interaction	13	-0.734769569815436	-2.31778877833734	3.30306221890741e-05	0.000850538521368659	0.000660612443781482	267	tags=69%, list=14%, signal=60%	3655/6696/3685/3915/948/3909/5649/1287/80144
hsa01240	Biosynthesis of cofactors	25	0.567242791883805	2.36391321965437	3.90521709329247e-05	0.00089386080135361	0.000694260816585328	482	tags=72%, list=26%, signal=54%	8564/7360/6999/2643/10243/211/8942/169355/6470/3242/4143/441024/4522/8630/23498/1503/53354/217
hsa00980	Metabolism of xenobiotics by cytochrome P450	13	0.708045337879182	2.33271241679692	5.27684290043095e-05	0.00108702963748878	0.000844294864068953	304	tags=69%, list=16%, signal=58%	1555/127/1549/1559/1577/1548/6822/124/1565
hsa00590	Arachidonic acid metabolism	10	0.736829562701799	2.20450893144885	7.43423082530321e-05	0.00139222868182951	0.00108134266549865	245	tags=70%, list=13%, signal=61%	1555/1558/1559/1557/3248/2053/4051
hsa04260	Cardiac muscle contraction	19	-0.6316460441676	-2.24508004735004	8.74790085458349e-05	0.00150172298003683	0.00116638678061113	246	tags=47%, list=13%, signal=42%	170712/785/7169/481/477/483/444/55799/783
hsa05204	Chemical carcinogenesis - DNA adducts	13	0.693549382086607	2.28495432241843	0.000118681498007472	0.00188064527611841	0.00146069536009197	46	tags=54%, list=2%, signal=53%	1558/1549/1559/1577/1557/1562/1548
