#category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	19/228	88/8840	5.73130439060645e-13	1.57037740302617e-10	1.27295286991364e-10	735/729/5340/3818/2/10878/2244/731/2160/732/2266/2158/5054/3075/718/5627/727/715/7035	19
Metabolism	Global and overview maps	hsa01200	Carbon metabolism	18/228	116/8840	7.80360135288152e-10	1.06909338534477e-07	8.66610466030526e-08	229/10993/2203/1373/189/2731/6470/2805/51179/54363/5095/8801/847/48/38/51/84706/2806	18
Metabolism	Global and overview maps	hsa01230	Biosynthesis of amino acids	13/228	75/8840	4.88181106904473e-08	3.63494298055816e-06	2.94649623087888e-06	229/10993/445/1373/435/383/6470/1491/2805/4143/48/84706/2806	13
Metabolism	Carbohydrate metabolism	hsa00630	Glyoxylate and dicarboxylate metabolism	9/228	31/8840	5.30648610300462e-08	3.63494298055816e-06	2.94649623087888e-06	189/2731/6470/51179/54363/5095/847/48/38	9
Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	11/228	68/8840	1.10952740285456e-06	4.88188673054973e-05	3.95727276275833e-05	1555/1558/127/1549/1559/1577/1562/1548/8854/124/8630	11
Metabolism	Amino acid metabolism	hsa00220	Arginine biosynthesis	7/228	23/8840	1.19387910838171e-06	4.88188673054973e-05	3.95727276275833e-05	445/1373/435/383/2805/84706/2806	7
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	12/228	83/8840	1.24719733992146e-06	4.88188673054973e-05	3.95727276275833e-05	2180/570/189/6342/7498/11001/51179/54363/2053/1962/847/51	12
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	8/228	41/8840	7.93673380412114e-06	0.000271833132791149	0.000220348793772311	10993/635/189/2731/211/6470/1491/29958	8
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	8/228	42/8840	9.58855711211029e-06	0.000291918294302024	0.000236629888965529	8564/6999/8942/169355/64577/1962/847/38	8
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	13/228	122/8840	1.44929816400083e-05	0.000397107696936227	0.000321896750109658	148/2203/5105/51422/2308/32/2998/10891/5207/3479/5520/5295/79602	13
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	10/228	73/8840	1.60083686097538e-05	0.000398753909006595	0.000323231174799814	1555/1558/127/1549/1559/1577/1557/1548/124/1565	10
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	10/228	76/8840	2.29855613440604e-05	0.000524836984022712	0.000425434512596205	2180/5105/6342/3158/11001/123/440503/10580/1962/51	10
Metabolism	Amino acid metabolism	hsa00350	Tyrosine metabolism	7/228	36/8840	3.05397016422634e-05	0.000643682942306166	0.000521771420770653	6898/127/2805/3242/3081/124/2806	7
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	7/228	37/8840	3.68476745390241e-05	0.000705506814694364	0.000571886046486788	445/1373/435/189/2805/84706/2806	7
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	14/228	153/8840	3.86226358409324e-05	0.000705506814694364	0.000571886046486788	8564/7360/6999/2643/10243/211/8942/169355/6470/3242/4143/441024/4522/8630	14
Metabolism	Carbohydrate metabolism	hsa00650	Butanoate metabolism	6/228	27/8840	5.17949308966375e-05	0.000886988191604918	0.000718995422315166	3158/348158/123876/1962/38/622	6
Organismal Systems	Digestive system	hsa04976	Bile secretion	10/228	90/8840	0.000100522385081146	0.00162018432424907	0.00131332651715925	570/6580/10864/5244/6822/8671/8647/107/3781/10599	10
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	5/228	20/8840	0.000123369691436304	0.0018779608585304	0.00152228098789825	6470/10841/10588/441024/4522	5
Metabolism	Carbohydrate metabolism	hsa00640	Propanoate metabolism	6/228	32/8840	0.000142343607045057	0.00205274464896556	0.00166396127903086	32/594/5095/8801/1962/51	6
Metabolism	Global and overview maps	hsa01210	2-Oxocarboxylic acid metabolism	6/228	33/8840	0.00017026576163197	0.00233264093435799	0.00189084608970241	189/594/2805/48/84706/2806	6
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	9/228	79/8840	0.000184723439785772	0.00241020107149055	0.00195371658119288	1555/127/1549/1559/1577/1548/6822/124/1565	9
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	12/228	144/8840	0.000333999904449556	0.00410702246350817	0.00332916534690828	127/51422/2308/32/10891/4217/2920/124/718/79602/727/51	12
Metabolism	Amino acid metabolism	hsa00270	Cysteine and methionine metabolism	7/228	52/8840	0.000344750060805431	0.00410702246350817	0.00332916534690828	10993/6898/635/1491/2805/4143/2806	7
Organismal Systems	Endocrine system	hsa04922	Glucagon signaling pathway	10/228	107/8840	0.000421519724562883	0.00481235018875958	0.00390090622292843	2203/5105/51422/2308/32/2998/10891/5207/5140/23235	10
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	8/228	71/8840	0.000454530626849114	0.00498165567026629	0.00403814577958582	1558/1549/1559/1577/1557/1562/1548/6822	8
Metabolism	Carbohydrate metabolism	hsa00500	Starch and sucrose metabolism	6/228	40/8840	0.00050756548975814	0.00534895939206656	0.00433588333356144	7360/2998/2632/5167/178/5236	6
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	7/228	57/8840	0.000610855384126875	0.00601292637928398	0.00487409706503619	2180/6342/84869/1962/38/79071/51	7
Metabolism	Amino acid metabolism	hsa00360	Phenylalanine metabolism	4/228	16/8840	0.000614459629999823	0.00601292637928398	0.00487409706503619	6898/2805/3242/2806	4
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	6/228	43/8840	0.000755873444966436	0.00714170082485529	0.0057890851864943	127/2180/124/1962/38/51	6
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	7/228	61/8840	0.000923840403571317	0.00843774235261803	0.00683966053170343	1555/1558/1559/1557/3248/2053/4051	7
Organismal Systems	Aging	hsa04213	Longevity regulating pathway - multiple species	7/228	62/8840	0.00101898893151153	0.00900654733013415	0.00730073563833387	51422/2308/3479/107/5295/847/3303	7
Metabolism	Nucleotide metabolism	hsa00230	Purine metabolism	10/228	128/8840	0.00170094269822121	0.0145643218535191	0.0118058851751538	27115/9615/132/7498/5140/9060/107/5167/5236/50940	10
Metabolism	Metabolism of cofactors and vitamins	hsa00770	Pantothenate and CoA biosynthesis	4/228	21/8840	0.00182597899751832	0.0151611589490915	0.0122896832049877	51733/8876/5167/1806	4
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	8/228	90/8840	0.00217944419800066	0.0171219342876243	0.0138790938712591	51422/2308/10891/3479/107/5295/847/79602	8
Metabolism	Amino acid metabolism	hsa00340	Histidine metabolism	4/228	22/8840	0.00218710839440457	0.0171219342876243	0.0138790938712591	3034/10841/131669/144193	4
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	10/228	138/8840	0.00296557296289925	0.0225713053287332	0.0182963712038521	2203/5105/51422/2308/32/2998/10891/5140/10580/5295	10
Metabolism	Lipid metabolism	hsa01040	Biosynthesis of unsaturated fatty acids	4/228	27/8840	0.00474426726725708	0.0351332224656335	0.0284791008077168	570/6342/79071/51	4
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	5/228	45/8840	0.00576059114063651	0.0415368940140632	0.0336699371377923	10351/5244/10060/8647/10349	5
Metabolism	Carbohydrate metabolism	hsa00620	Pyruvate metabolism	5/228	47/8840	0.00693843771576949	0.048269036302801	0.0391270328847138	127/5105/32/124/38	5
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	8/228	109/8840	0.00704657464274467	0.048269036302801	0.0391270328847138	5105/51422/2308/32/2998/10891/11001/5295	8
Metabolism	Carbohydrate metabolism	hsa00010	Glycolysis / Gluconeogenesis	6/228	67/8840	0.0074152192273501	0.0494915238461621	0.0401179851384564	229/127/2203/5105/124/5236	6
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	5/228	48/8840	0.00758629197641901	0.0494915238461621	0.0401179851384564	3158/594/5095/1962/38	5
