#category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	23/453	88/8840	4.73401522675954e-11	1.43440661370814e-08	1.15609635011391e-08	735/731/729/5054/5340/1361/10878/732/5627/2160/715/2158/2266/727/2153/3818/722/3075/710/10877/3080/716/10747	23
Organismal Systems	Digestive system	hsa04976	Bile secretion	22/453	90/8840	5.13950245475539e-10	7.78634621895441e-08	6.27560299738553e-08	1576/8647/8671/570/5244/6580/6822/366/3781/64240/64241/3949/107/7366/10998/10864/10599/6554/5243/200931/1244/9429	22
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	15/453	45/8840	2.92308344150399e-09	2.95231427591903e-07	2.37949248571553e-07	8647/5244/10351/10060/23460/64240/64241/10349/10350/5825/19/5243/1244/9429/23461	15
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	18/453	73/8840	1.70388433891576e-08	1.29069238672868e-06	1.04026622796962e-06	1558/1555/1576/1559/1557/127/1577/1549/316/2328/1548/125/1571/7366/2329/2330/4129/130	18
Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	17/453	68/8840	3.42274036764346e-08	2.07418066279194e-06	1.67173845324902e-06	1558/1555/1576/1559/127/1562/1577/1549/8854/316/1548/125/7366/8630/216/130/8608	17
Metabolism	Lipid metabolism	hsa00120	Primary bile acid biosynthesis	8/453	17/8840	7.22108012799074e-07	3.32630334624982e-05	2.68091845172818e-05	570/6342/9420/10998/3295/51302/1109/8309	8
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	12/453	42/8840	7.68452918275535e-07	3.32630334624982e-05	2.68091845172818e-05	8564/6999/316/130013/169355/38/64577/1962/55526/4129/847/8942	12
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	16/453	76/8840	1.09091199003449e-06	4.13182916225564e-05	3.33015239063161e-05	5105/2180/6342/11001/3158/10580/5465/1962/51129/51703/10998/33/123/51/34/8309	16
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	16/453	83/8840	3.7366222420911e-06	0.000125799615483734	0.000101391387153817	2180/570/6342/11001/7498/54363/2053/51179/1962/51703/6648/3295/847/5825/51/8309	16
Metabolism	Global and overview maps	hsa01230	Biosynthesis of amino acids	15/453	75/8840	4.66128942349002e-06	0.000141237069531748	0.000113833594342072	10993/445/1491/1373/229/84706/383/2805/435/6470/5053/4143/48/5091/5009	15
Metabolism	Global and overview maps	hsa01200	Carbon metabolism	19/453	116/8840	5.95527808812696e-06	0.000164040841882043	0.000132212872387125	10993/2203/1373/229/84706/5095/2805/54363/6470/9104/51179/8801/38/48/847/9563/5091/51/26007	19
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	11/453	43/8840	7.33307243397997e-06	0.000185160078957994	0.000149234456551171	2180/127/125/38/1962/51703/33/130/51/34/36	11
