#category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	12/155	99/8840	1.36939759657001e-07	1.13660000515311e-05	1.01383471184657e-05	783/55799/5563/1837/6444/3685/7169/8910/785/137868/3655/7042	12
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	11/155	105/8840	2.03918796142445e-06	0.000115540837160915	0.000103061156799632	783/55799/1837/6444/3685/7169/8910/785/137868/3655/7042	11
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	10/155	86/8840	2.32009713174527e-06	0.000115540837160915	0.000103061156799632	783/55799/1837/6444/3685/1496/8910/785/137868/3655	10
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	9/155	87/8840	1.98306079430542e-05	0.000822970229636751	0.000734080399295516	783/55799/444/483/477/481/7169/785/170712	9
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	9/155	89/8840	2.38527968117699e-05	0.000848478058018671	0.000756833101847134	80144/1287/5649/3909/948/3915/3685/6696/3655	9
NA	NA	hsa04820	Cytoskeleton in muscle cells	12/155	232/8840	0.000760275230031677	0.023663566534736	0.0211076412548268	1287/114793/1837/6444/483/477/481/3685/7169/8910/137868/3655	12
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	10/155	174/8840	0.000946210531817285	0.0261784913802782	0.0233509265746722	85407/23236/8549/4919/54894/84133/147111/1501/166336/9475	10
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	7/155	93/8840	0.00119426910097564	0.0297373006142934	0.0265253452953537	1287/3909/5747/3915/3685/1021/3655	7
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	10/155	184/8840	0.00144638100269058	0.0327408063336322	0.0292044393844701	6091/1630/5747/55740/1946/8829/2048/6092/80031/9475	10
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	6/155	76/8840	0.0020988971154825	0.0433506570862385	0.0386683096393842	1131/23236/483/477/3709/481	6
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	5/155	53/8840	0.00226328731775543	0.0433506570862385	0.0386683096393842	23236/26052/483/477/481	5
