#gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	ENTREZID
ESRRG	0	2.80001440902585	0.442	0.175	0	2104
RUNX1	0	2.74269356350532	0.731	0.316	0	861
CACNB2	0	2.73132243512117	0.444	0.13	0	783
ZFPM2-AS1	0	2.68558958015798	0.457	0.064	0	102723356
TRPM3	0	2.2726048142763	0.503	0.152	0	80036
SNTG1	0	2.20869226198192	0.519	0.244	0	54212
BICC1	0	2.16116180057304	0.481	0.085	0	80114
RGSL1	0	2.12475441758134	0.31	0.068	0	353299
DISC1	0	2.1203250088997	0.39	0.068	0	27185
CPA6	0	2.11850333348738	0.299	0.024	0	57094
NKD1	0	2.09392009792323	0.477	0.09	0	85407
GPC3	0	1.99604704966819	0.631	0.176	0	2719
LNCAROD	0	1.98188381625396	0.504	0.103	0	101928687
NTM	0	1.9806119112105	0.321	0.037	0	50863
RHOBTB1	0	1.97082516269811	0.396	0.055	0	9886
CACNA2D3	0	1.9197047681764	0.262	0.038	0	55799
ROBO1	0	1.86883086379227	0.625	0.14	0	6091
SDK1	0	1.78944727500863	0.258	0.054	0	221935
DYNC1I1	0	1.76324225722696	0.443	0.093	0	1780
GLUL	0	1.76279222365031	0.591	0.316	0	2752
FRAS1	0	1.75297778835086	0.385	0.038	0	80144
LINC01608	0	1.65536814999234	0.279	0.021	0	101927459
LRP1B	0	1.64257405455752	0.388	0.208	0	53353
CHRM3	0	1.62707983035597	0.373	0.104	0	1131
LINC02506	0	1.62512520176419	0.324	0.046	0	102723828
COL4A5	0	1.60585574267659	0.368	0.061	0	1287
LINC02476	0	1.5857783479798	0.423	0.117	0	105375475
ACSL4	0	1.5759949682263	0.418	0.092	0	2182
PLCB1	0	1.57020701448693	0.559	0.308	0	23236
DNM3	0	1.55867274491101	0.218	0.066	0	26052
MEG8	0	1.54919164237429	0.232	0.059	0	79104
PGC	0	1.53627815052253	0.224	0.017	0	5225
ASAP1	0	1.52064262352921	0.659	0.284	0	50807
PDE4D	0	1.49610474990906	0.675	0.279	0	5144
MEG3	0	1.4275226212133	0.245	0.066	0	55384
APOA2	0	1.42287002055212	0.752	0.559	0	336
IL1RAPL1	0	1.41998735216493	0.326	0.097	0	11141
MID1	0	1.41221622923497	0.381	0.136	0	4281
RELN	0	1.39347645915544	0.298	0.074	0	5649
MAP2	0	1.37973963039295	0.436	0.067	0	4133
NAV3	0	1.33889453161862	0.265	0.061	0	89795
FTL	0	1.31992128155404	0.719	0.464	0	2512
IGF2BP2	0	1.3151784313055	0.438	0.091	0	10644
LAMA3	0	1.29272507731276	0.37	0.1	0	3909
MCTP1	0	1.28736478456347	0.259	0.053	0	79772
PHACTR1	0	1.28284199825787	0.331	0.064	0	221692
LINC01622	0	1.27365768727174	0.201	0.026	0	285768
RHBG	0	1.27143765418254	0.384	0.102	0	57127
MIR4300HG	0	1.26978654058325	0.238	0.026	0	101928989
KIF26B	0	1.26377175117602	0.267	0.055	0	55083
PPP1R9A	0	1.25928710770949	0.354	0.052	0	55607
PRKAA2	0	1.21943694440706	0.404	0.058	0	5563
AKR1C2	0	1.21220212841243	0.443	0.13	0	1646
MME	0	1.17242894585215	0.408	0.252	0	4311
MIR2052HG	0	1.17146870351171	0.295	0.028	0	441355
ASPH	0	1.16621594803474	0.646	0.378	0	444
MBNL3	0	1.16548426685146	0.523	0.231	0	55796
SNAP25-AS1	0	1.16434125623549	0.323	0.088	0	100131208
TSC22D1	0	1.16014297739449	0.359	0.054	0	8848
LINC02109	0	1.15951493183575	0.26	0.094	0	101929660
DCC	0	1.1589766073163	0.18	0.044	0	1630
SCD	0	1.1379947130257	0.367	0.137	0	6319
PTK2	0	1.13243864949272	0.779	0.535	0	5747
ENAH	0	1.12163945765218	0.464	0.159	0	55740
EFNA5	0	1.11422369069156	0.137	0.015	0	1946
LGR5	0	1.10874083121991	0.321	0.061	0	8549
PTP4A1	0	1.10749313464332	0.37	0.136	0	7803
FMNL2	0	1.09639992446225	0.344	0.074	0	114793
ROR1	0	1.08859129402194	0.275	0.043	0	4919
ZCCHC7	3.14198954054133e-127	1.08780399313313	0.669	0.597	1.06909336106459e-122	84186
CASC15	0	1.0858711288237	0.21	0.043	0	401237
LINC00355	0	1.0819242287794	0.227	0.028	0	144766
SH3RF3	0	1.07776365190663	0.297	0.048	0	344558
CD36	0	1.06972081140396	0.267	0.04	0	948
DTNA	0	1.05757289088844	0.483	0.173	0	1837
SGCD	0	1.05303687258695	0.28	0.095	0	6444
NKAIN2	0	1.04970873400569	0.28	0.08	0	154215
PARD3B	0	1.04953388269249	0.849	0.662	0	117583
PREX2	0	1.04433518733395	0.135	0.024	0	80243
ANKS1B	0	1.04324008145967	0.301	0.105	0	56899
CEMIP2	0	1.03312681584738	0.62	0.366	0	23670
ARHGEF3	0	1.02679831117339	0.281	0.046	0	50650
PLPPR1	0	1.01982956824455	0.483	0.221	0	54886
GRK3	0	1.01297630551947	0.405	0.087	0	157
TNFRSF19	0	1.00005827682946	0.235	0.032	0	55504
RNF43	0	0.999878868786094	0.444	0.19	0	54894
LINC02241	0	0.990771903532017	0.26	0.068	0	105374676
LINC01524	0	0.988604824341579	0.228	0.035	0	101927700
DLEU1	0	0.984864905390107	0.486	0.207	0	10301
ARHGEF28	0	0.984684836597699	0.609	0.319	0	64283
RPL8	0	0.981338572864625	0.348	0.114	0	6132
PALLD	0	0.979874559844891	0.34	0.074	0	23022
STK39	0	0.977119180070181	0.273	0.059	0	27347
LAMC1	0	0.971222402094757	0.49	0.159	0	3915
CAP2	0	0.967707111222058	0.523	0.193	0	10486
CPQ	0	0.962125181973678	0.705	0.419	0	10404
PVT1	0	0.960239290328243	0.493	0.178	0	5820
FRMD3	0	0.959829215965358	0.241	0.062	0	257019
ATP1B3	0	0.957747069914992	0.106	0.017	0	483
ATP1A2	0	0.956232877850248	0.1	0.019	0	477
GNGT1	0	0.956091310989113	0.222	0.049	0	2792
ZNF704	0	0.948468242581695	0.412	0.133	0	619279
