Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-5R-AA1C-01A-11R-A41C-07	0	0	0.00155504868805646	0.207734879864751	0	0.0834280469821545	0	0.0165926628032383	0.0356834422101955	0	0.0141300886832532	0.0310783074639867	0.0403592205999279	0	0.134125260588013	0.310665328310328	0.0122443853508206	0	0.112403328455274	0	0	0	0	0.013979807690006	1.08897347527926
TCGA-ED-A66Y-01A-11R-A311-07	0.0703450293133328	0	0.0375731559632331	0.0889326311088973	0	0.125244434752914	0	0.0352063173656769	0.0860751786511151	0	0.0347924790197402	0	0	0.194341714163975	0.0540229648077525	0.234766646299543	0.00400016957721807	0	0.0322325853045673	0	0	0.00246669367203486	0	0.0414182410871746	1.07248505970698
TCGA-DD-AAEI-01A-11R-A41C-07	0.00243447140026913	0	0.00388316987926526	0.0825359501498041	0	0.157882939592397	0	0	0.108049863401224	0	0	0.0800561693810348	0.0155832897750361	0.133902411899016	0.0986006810705312	0.14566289013861	0.02207226631377	0	0.145292309796817	0	0	0.0040435872022251	0	0.0569001414025748	1.06640244145579
TCGA-ED-A8O5-01A-11R-A36F-07	0.0328159579483454	0.00552750832570275	0.00856183900865475	0.1193604229085	0	0.410454700556154	0	0.0157244331142415	0.0525536264432795	0	0.0466309832544155	0.00276270140310663	0.0271755008285905	0.0822280176847967	0.0463492986584153	0.0835155625083627	0.00953171063968912	0	0.0553568459539976	0	0	0.0014508907637477	0	-0.00855762256219093	1.11719800157161
TCGA-DD-AACH-01A-11R-A41C-07	0.0645305432564117	0	0.0218184215790418	0.0262484839672953	0	0.0657080760383352	0	0.013557780581846	0.0795394047856049	0	0.0327501780088638	0.0795743926196783	0.0458823153976958	0.128938722598448	0.0588511693733233	0.339464494674946	0.0101801150758445	0	0.0298592494714383	0	0	0.00309665257122702	0	0.037439236588918	1.07654113069628
TCGA-FV-A3R3-01A-11R-A22L-07	0.00769801548273302	0	0.00303310092783293	0.10519016251387	0	0.33168778550832	0	0	0.0203461476826381	0	0	0.0482447479802996	0.00742159582541324	0.0677173145477633	0.0272708090851523	0.273029951501175	0.0568382422663288	0	0.0515221266784739	0	0	0	0	0.0125631282735821	1.09016830012726
TCGA-G3-A5SJ-01A-11R-A27V-07	0	0.0140585392211924	0.0760742427935822	0.137087976694545	0	0.155112722369483	0.001591750858626	0.0858514935501915	0.102925038864391	0	0	0.00781517269809951	0	0.117601759110785	0.0629137254781561	0.0944214943636846	0.104132580247367	0	0.00980045904347474	0	0	0.0306130447064216	0	0.136796273491576	1.03411974221301
TCGA-HP-A5MZ-01A-21R-A27V-07	0.0239552946884694	0	0.0222299732227048	0.0569853712798868	0	0.219556089285906	0	0.0259055347408138	0.110829400238347	0	0	0.0592418746266352	0.00319421304370584	0.0642764358126265	0.0825208079672018	0.181345290697691	0.0572263227248776	0	0.0909241798571501	0	0	0.00180921181398454	0	0.107363982225261	1.04191423336883
TCGA-ZP-A9D0-01A-11R-A37K-07	0.0335796473235726	0	0.0363220469970831	0.0354071839970333	0	0.238988427065373	0	0.00136807280618995	0.0319384260313396	0	0.0352995058857189	0.0646471801609113	0.0669457367240849	0.00219726787936259	0.0931710518025357	0.196042042158616	0.0224211114099579	0	0.141672299758221	0	0	0	0	-0.0198562237713075	1.0852284686414
TCGA-BC-A10W-01A-11R-A131-07	0	0	0.00429181478351225	0.051477493551855	0	0.0812035120010604	0.000494095609759746	0.0338509173128812	0.0843982281515789	0	0	0.0244341145461763	0.033803802882677	0.0942526846307696	0.128458523012356	0.253960071496233	0.171811972155734	0	0.0375627698654071	0	0	0	0	0.0385570788567691	1.07741494609009
TCGA-DD-A4NH-01A-11R-A27V-07	0	0.00243214154378096	0.0143621109747901	0.0394040644590458	0	0.121053584374908	0	0.0086329758031744	0.0890468559742716	0	0.0064633538012474	0.00620595669237347	0	0.225737296881252	0.027080671361348	0.0100218773712454	0.175035946657092	0	0.0341066111806227	0	0	0.240416552924848	0	0.137360821210132	1.05395568648293
TCGA-G3-A25Z-01A-11R-A16W-07	0.00267615464793049	0	0.01332730546606	0.100741971821011	0	0.179413426418858	0	0.00330435440806351	0.149364486715032	0	0.0718912550641318	0	0.0223823396605099	0.0992194405958096	0.0633208986691246	0.140677121967823	0.0806238406893739	0	0.0581651776080541	0	0.00212056492804618	0.0127716613401711	0	0.0344874331776826	1.07307187700281
TCGA-DD-AACX-01A-11R-A41C-07	0.0342165308693345	0	0	0.102744511460261	0	0.075411648915072	0.0084969833319934	0	0.0116700684472089	0	0	0.0437281686059676	0.0587361030740958	0.0945946920601104	0.229439855284945	0.110185256182508	0.0194417133503529	0	0.205588473471218	0	0.00574599494693201	0	0	0.0514668422146796	1.09164226001148
TCGA-BC-A10X-01A-11R-A131-07	0.116709985669066	0	0.0382649237846922	0.0980027746640274	0	0.113852960206937	0	0.0187186106736118	0.073118827941959	0	0	0.0204372384909242	0.0488978394556149	0	0.074871962740584	0.274219764905644	0.0281953080110512	0	0.0804317238605735	0	0	0.0142780795953153	0	0.173373445651026	1.00943151782583
TCGA-DD-AACD-01A-11R-A41C-07	0.0134973132042816	0.00068920196212829	0.014762590362357	0.0950091713507022	0	0.212643420635292	0	0.0290563394350984	0.106440798644232	0	0.00896046600107534	0.0310752331830905	0.0183117761972753	0.0367992329246681	0.114323195946997	0.212217944655632	0.0218341860456698	0	0.076490026513338	0	0	0.00788910293816227	0	0.0309795431834729	1.07924198003419
TCGA-NI-A8LF-01A-11R-A36F-07	0.101781288576801	0	0.0212058524692403	0.182874727646172	0	0.0811676344287329	0	0.0114019900856936	0.121574735921658	0	0.0804788123131067	0.00595710694997739	0.0134270852225224	0.0792078269700796	0.0310606236080967	0.258078555694179	0	0	0.0117837601137393	0	0	0	0	0.0266146537098081	1.08305111703414
TCGA-EP-A2KA-01A-11R-A180-07	0.00226450739221737	0	0.0686853353904675	0.241822677263086	0	0.141583515600187	0.00459520597703085	0.0573680293893098	0.137359951798281	0	0	0.0617422421522734	0.00904215006998417	0.0481233886874051	0.0779002721954699	0.0820107745567875	0.029193728667401	0	0.0242096747753931	0	0	0.0140985460847067	0	0.116189500151823	1.06360630250798
TCGA-ZP-A9D4-01A-11R-A37K-07	0	0.00484625939583942	0.00890346168631631	0.0229396218978676	0	0.17132482775939	0	0	0.113115883145091	0	0.0536325090368987	0	0.0316438806573616	0.0049650836985875	0.120648834470098	0.243844361663492	0.00478200534622809	0	0.190191929325735	0	0	0.0291613419170941	0	0.00536100588058207	1.08182897882747
TCGA-DD-AADQ-01A-11R-A41C-07	0.0388663899588286	0	0.00554095138844768	0.295649819831807	0	0	0.0289808025300867	0.034305347801831	0.227807494937248	0	0.00578705002592062	0.0486801087670496	0.0123366590386008	0.0432687940886221	0.084915431462237	0.108906576524035	0.0101906924291616	0	0.0547638812161247	0	0	0	0	-0.00906749318309635	1.12319912542508
TCGA-DD-AAE7-01A-11R-A41C-07	0.0278702120565102	0	0.0525881997842647	0.237955835121697	0	0.23444341097629	0	0.0155044243928201	0.0483878347035883	0	0.000929207946605775	0	0.00132488787700768	0.00222516261115213	0.0945658065139854	0.200673694035979	0.0826101632568409	0	0	0.000921160723258378	0	0	0	0.11004421283329	1.05576798733535
TCGA-GJ-A9DB-01A-11R-A37K-07	0.0543370756504963	0	0.0290157441242381	0.0559439530401115	0	0.179325317040675	0	0.0183565660300847	0.0441709363338469	0	0	0.010187790695135	0.0740069340678945	0.145395012032206	0.101807795912049	0.172970738394728	0.0479536573427671	0	0.0665284793357681	0	0	0	0	0.107834471631255	1.03748590420733
TCGA-DD-A3A3-01A-11R-A22L-07	0.0217261332206323	0.0109431366951593	0.0109308103510757	0.0728620020403207	0	0.20371899928974	0	0	0.133492233184018	0.0215674113244235	0	0.0385754061573361	0	0.104110661406221	0.0764760087010073	0.170005567724924	0.0686414281206831	0	0.0582539896073383	0	0	0.00869621217712035	0	0.0523560195904399	1.06605967889434
TCGA-FV-A3I0-01A-11R-A22L-07	0	0.0697378055849568	0	0.0256654504012776	0	0.123100420678234	0	0.0036882276855663	0.088507969503224	0	0	0.067674779168155	0.026918004963159	0.288460526964486	0.0385547249959456	0.210865213599042	0	0.0148409066239115	0.0259120983301447	0	0	0.0160738715018975	0	0.156863633222121	1.03434344280098
TCGA-DD-A1ED-01A-11R-A155-07	0.0426495649929049	0	0.00959796461698564	0.146475662237978	0	0.175852426410709	0	0.0150073066311985	0.0446919866122189	0.00985693761172436	0	0.0719524446053448	0.0409820368768588	0.0449881354136407	0.0540539241063236	0.163998916756163	0.0136789149204714	0	0.123892014374899	0.0357151840408346	0	0.00660657979174529	0	0.0622630565053189	1.06170189708572
TCGA-5C-A9VG-01A-11R-A37K-07	0.100915357692828	0	0.0155778604111584	0.0414385493062964	0	0.148515721791178	0	0.0270784944244592	0.0181436398791253	0.00517820006094033	0	0.0443551420945752	0	0.136170287392832	0.047373306217475	0.204001990783675	0.00249432292960514	0	0.208757127015852	0	0	0	0	0.0400726348786319	1.06363191203373
TCGA-EP-A2KB-01A-11R-A180-07	0.00151189825652308	0	0.00992088493600266	0.184410232728649	0	0.150791408732614	0	0.0538184661030807	0.0830169235140155	0	0	0.0500251260332834	0.0177709704982799	0.0787578952718994	0.0697193627576959	0.266266189690065	0.0215910519569882	0	0.0111151431700507	0	0	0.00128444635085173	0	-0.0200034653766987	1.11004819950941
TCGA-CC-A8HU-01A-11R-A36F-07	0.0559357510093731	0	0.0243659024899505	0.105456523371348	0	0.0483399135025007	0	0.0827627496854612	0.0492797159913374	0	0	0.0819252995786162	0.0143196830277376	0.0605880553709158	0.070047844427914	0.24662825020937	0	0	0.114479801174787	0.0422710093253479	0	0.00359950083534191	0	-0.0179872351753709	1.08979614503732
TCGA-DD-AACN-01A-11R-A41C-07	0.0999900971533248	0	0.0657817605957703	0.143633379676082	0	0.241094243989686	0	0.0280887932485342	0.0439933212442267	0	0	0.059236808274347	0.03115375914334	0.0122974000576577	0.109049136786616	0.0722212052958944	0.0559718124639929	0	0.0374882820705289	0	0	0	0	0.200802367841685	1.01272979796197
TCGA-PD-A5DF-01A-11R-A27V-07	0.0205586851554485	0	0.0133936255796354	0.0438425352215919	0	0.0977787228822129	0	0.0300489902436639	0.100988119098296	0	0.0140683469390354	0	0	0.481045822910246	0.0832575390942942	0.0564487985102151	0.0103389967793414	0	0.0453770912352199	0	0	0.00285272635079878	0	0.239420636247813	1.01610819482126
TCGA-DD-A1EF-01A-11R-A131-07	0.121963282646714	0	0.0170953256576792	0.10955712247227	0	0.165553496706788	0	0.0374425594430665	0.169462354396405	0	0	0.0335172700884288	0	0.108745553433521	0.0544500984219188	0.0716902177351312	0.0737719803386556	0	0.0367507386594223	0	0	0	0	0.189424279538872	1.0149555342551
TCGA-GJ-A6C0-01A-12R-A311-07	0	0.00526958301662326	0.00107933568505669	0.0315774540425653	0	0.126038135372267	0.0111241773468123	0.040042157484467	0.0485156324775398	0	0.0064359693641774	0.00845631408588203	0	0.463165343374596	0.0637092916744945	0.138184785201469	0	0	0.0311769960448322	0	0	0.0252248248292182	0	0.192596737338819	1.04424742825721
TCGA-DD-A11D-01A-11R-A131-07	0	0.00232109046971531	0.00439217636825732	0.0409232672749718	0	0.243741112884872	0	0	0.108780385219012	0	0	0.102606595287913	0.0144719253186454	0.0187652374094595	0.105060192039677	0.205491347502453	0.0391821072011133	0	0.11426456302391	0	0	0	0	-0.0336176010205379	1.10785366675144
TCGA-DD-AADJ-01A-11R-A41C-07	0.0696134650296724	0	0.00500942349239872	0.060274974616784	0	0.288186525793916	0	0.0284678513097027	0.140821594483015	0	0.0191715936293183	0.0483596867343273	0.0339977546656197	0.0307616622925661	0.0580081965043983	0.0740164318363478	0.0819376547613196	0	0.054201018503683	0	0	0.00717216634693147	0	-0.0147773226917148	1.10416629972249
TCGA-DD-AADW-01A-11R-A39D-07	0.0459953251066905	0	0.0137383925803087	0.0888707692965292	0	0.155411666514213	0	0.060178893146599	0.0654088119409103	0	0	0.0631649759936219	0	0.169901698756861	0.0978766910919963	0.12156313454991	0.0115251763860836	0	0.106166308498739	0	0	0.000198156137537446	0	0.0871597486730971	1.05338269859118
TCGA-XR-A8TF-01A-11R-A36F-07	0.0640142241039587	0	0.0163217882532908	0.292810264803545	0	0.0469895141342243	0.0451357461031984	0.109123343135563	0.0833744185349418	0	0	0.00746519030272919	0.00973929607350147	0.0322812317607207	0.0823991785837592	0.210345804210567	0	0	0	0	0	0	0	0.00130756920375581	1.1081267329401
TCGA-MI-A75G-01A-11R-A32O-07	0.0329563969804098	0	0.00415250890048721	0.0623236896340679	0	0.154995022408455	0	0	0.0473171052872038	0	0	0.0311980186947	0.0353463925107882	0.118505799999649	0.0776580743501011	0.160406888032855	0.0102804987356761	0	0.264859604465606	0	0	0	0	0.0108271904224168	1.0795063273336
TCGA-DD-AAD1-01A-11R-A41C-07	0.0440600207984735	0.0405850197442124	0.0469273255954836	0.184657824065581	0	0.263068393260254	0	0	0.104543026395305	0	0	0.0534275793212476	0.00798508174466962	0.0245803716931768	0.0441967426156903	0.0775789623600783	0.0386338924682316	0	0.0569343750174627	0	0	0.0128213849201334	0	0.187049598328671	1.02380034344303
TCGA-ED-A7XO-01A-11R-A352-07	0.140972971147269	0	0.221612940012271	0.0915665781110137	0	0.19964923661559	0	0	0.0463786864717885	0	0	0.0498825605412828	0.0202790986951554	0	0.0537489641644257	0.0473975816590174	0.00123357332920105	0	0	0.098044688335864	0.00496236338827605	0.0242707575288455	0	0.441223928468136	0.899129906921665
TCGA-CC-A5UE-01A-11R-A28V-07	0	0.000150088804099875	0.00374748532667476	0.130702809059971	0	0.166735685602085	0	0.0174212259849295	0.142146296815178	0	0	0.0335933972231062	0	0.220879576012256	0.0438713391005021	0.156498076646478	0.0490383878620105	0	0.0334083748933972	0	0	0.0018072566693115	0	0.0166692255320835	1.09590860283021
TCGA-DD-A73D-01A-12R-A32O-07	0.0453865121540215	0	0.0287249973039169	0.0594132148138375	0	0.101776994665915	0	0.00912846277172991	0.0324230930649718	0	0.0248764467124894	0.0617422092216896	0.0327001324761226	0.102882715848226	0.162886699378855	0.175673767923584	0.0326732972570886	0	0.123579512754638	0	0	0.00613194365291406	0	0.020359078409282	1.08169869370319
TCGA-DD-AACT-01A-11R-A41C-07	0.0160131769217372	0	0.042807554066105	0.339017616819529	0	0.0121047342926502	0	0.0375870801573027	0.108509390208851	0	0.00276795930725557	0.050274704661025	0.0139061899380474	0.0619196170147312	0.0867468440467412	0.16788090359377	0.0213337445797141	0	0.0282370355439841	0	0	0.010893448848557	0	0.0792317218188639	1.0717891457974
TCGA-XR-A8TE-01A-11R-A36F-07	0.0576105745075407	0	0.0112886048438956	0.05289651835246	0	0.40161447284467	0	0	0	0.0191619264129669	0	0.0472403681169467	0.00691383244152547	0.0453233677115554	0.111029960653258	0.215349850747088	0.00602436071455057	0	0	0.0255461626535433	0	0	0	0.00882456230574421	1.09967287331974
TCGA-DD-A39X-01A-11R-A213-07	0.0243866346514647	0	0.0042248463999591	0.0804585641007061	0	0.188400010906006	0	0	0.151643900130118	0	0	0.0372486972014823	0.0063533988472773	0.113204150451983	0.0390054424380435	0.221262446688254	0.0884751320036947	0	0.045336776181011	0	0	0	0	0.0110263963526064	1.0845813568748
TCGA-WQ-AB4B-01A-11R-A41C-07	0.00193043536515714	0.00672483892298727	0.00704767483689036	0.0822950123841446	0	0.233608947825156	0	0	0.174259637955056	0	0	0.0581798065541055	0.0250255569071542	0.110408901304367	0.0865491254537442	0.110859235184859	0.0372272045199689	0	0.0621526642402295	0	0.00173126565957183	0.00199969288660858	0	0.0101024212860973	1.09465053163442
TCGA-DD-AACO-01A-11R-A41C-07	0	0	0.0615555017877893	0.0344505329569611	0	0.294071493033556	0	0	0.140103065326962	0.131273959998664	0	0.0102714402700232	0	0	0.0651507310362931	0.191253614304011	0.0113370721198457	0.00213130277460327	0.0584012863912922	0	0	0	0	0.0782777353382353	1.06914767067858
TCGA-CC-A1HT-01A-11R-A131-07	0	0.000751471835117695	0.0303569058812886	0.225961445295663	0	0	0.0856219893587995	0.0443785241063362	0.0854126597028884	0	0.0384100214617367	0	0	0.091817247252568	0.10417351193968	0.237305075148419	0.0133261508782186	0	0	0	0	0.0424849971392841	0	0.115291232550602	1.04522265582639
TCGA-DD-AADS-01A-11R-A41C-07	0.0232078786143427	0	0.0495532033141666	0.148320980798194	0	0.0943987979156555	0	0.0271123447510841	0.125454076308079	0.0425322814452625	0	0.0936918494225367	0.0226481546248517	0.0416929501845766	0.0865057334348738	0.135345084421097	0.0322359550882449	0	0.0773007096770348	0	0	0	0	0.112620018231927	1.04869269647408
TCGA-DD-AADA-01A-11R-A41C-07	0.0944084936445765	0	0.0348089634043592	0.180112471539548	0	0.21809127560649	0	0.0479894972160976	0.111516293067236	0	0	0.0393947416661824	0.00290497924698535	0.0494814221729235	0.0756993529582579	0.0959923668563871	0.024477000410159	0	0.0251231422107975	0	0	0	0	0.0828811976804179	1.0739958649311
TCGA-CC-A9FW-01A-11R-A37K-07	0.0532815680353372	0	0.0743825637358599	0.169770229971504	0	0.0525757390562429	0	0.0645450417473053	0.155498914084251	0	0	0.0403185099079791	0.0190316595229742	0.185028626928201	0.05334787312889	0.037636385092626	0.0306281967959052	0	0.0639546919929238	0	0	0	0	0.17788309161264	1.01758876017442
